NOAA ID,Acquisition,Name,Sex,Species,Birth Date,Captivity Date,Owner,Facility,Purpose,Status,Facility Date
NOA0002918,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Florida,Public Display,DEAD,5-May-95
NOA0002919,CAPTURE,-,MALE,Beluga Whale,-,20-Jul-87,unreported facility in unspecified foreign country,Sea World of California,Public Display,-,22-Jul-87
NOA0002919,TRANSFER,-,MALE,Beluga Whale,-,-,Sea World LLC,Sea World of Florida,Public Display,-,-
NOA0002919,TRANSPORT,-,MALE,Beluga Whale,-,-,Sea World LLC,Sea World of Florida,Public Display,-,5-May-95
NOA0002919,TRANSPORT,-,MALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,DEAD,18-Oct-98
NOA0002920,CAPTURE,-,FEMALE,Killer Whale; Orca,-,13-Nov-76,Zeedierenpark Harderwijk B V,Zeedierenpark Harderwijk B V,Public Display,-,Unknown
NOA0002920,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Florida,Public Display,-,-
NOA0002920,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Florida,Public Display,DEAD,17-Nov-87
NOA0002947,CAPTURE,-,FEMALE,Beluga Whale,-,16-Jul-88,unreported facility in unspecified foreign country,Sea World of Texas,Public Display,-,21-Jul-88
NOA0002947,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Florida,Public Display,-,-
NOA0002947,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Florida,Public Display,-,5-May-95
NOA0002947,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,ALIVE,18-Oct-98
NOA0002948,CAPTURE,-,FEMALE,Beluga Whale,-,17-Jul-88,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,17-Jul-88
NOA0002948,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,-,-
NOA0002948,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,DEAD,21-Jul-88
NOA0002949,CAPTURE,-,FEMALE,Beluga Whale,-,17-Jul-88,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,17-Jul-88
NOA0002949,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,-,-
NOA0002949,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,ALIVE,21-Jul-88
NOA0002950,CAPTURE,-,FEMALE,Beluga Whale,-,18-Jul-88,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,18-Jul-88
NOA0002950,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,-,-
NOA0002950,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,DEAD,21-Jul-88
NOA0002959,BIRTH,-,FEMALE,Killer Whale; Orca,23-Sep-88,23-Sep-88,Sea World LLC,Sea World of California,Public Display,ALIVE,23-Sep-88
NOA0002960,BIRTH,-,FEMALE,Killer Whale; Orca,4-Nov-88,4-Nov-88,Sea World LLC,Sea World of Texas,Public Display,DEAD,29-Oct-94
NOA0002961,BIRTH,-,FEMALE,Killer Whale; Orca,26-Nov-88,26-Nov-88,Sea World LLC,Sea World of Ohio,Public Display,-,26-Nov-88
NOA0002961,TRANSPORT,-,FEMALE,Killer Whale; Orca,26-Nov-88,-,Sea World LLC,Sea World of Texas,Public Display,-,4-Oct-99
NOA0002961,TRANSPORT,-,FEMALE,Killer Whale; Orca,26-Nov-88,-,Sea World LLC,Sea World of Florida,Public Display,ALIVE,18-Nov-06
NOA0002978,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-78,Unknown,Acuarama S A,Acuarama S A,Public Display,-,Unknown
NOA0002978,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-78,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002978,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-78,-,Sea World LLC,Unknown,Public Display,DEAD,3-May-89
NOA0002984,BIRTH,-,FEMALE,Killer Whale; Orca,11-Jul-89,11-Jul-89,Sea World LLC,Sea World of Florida,Public Display,DEAD,11-Jul-89
NOA0003035,CAPTURE,-,FEMALE,Killer Whale; Orca,-,15-Nov-77,Windsor Safari Park,Windsor Safari Park,Public Display,-,Unknown
NOA0003035,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Ohio,Public Display,-,-
NOA0003035,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Ohio,Public Display,-,13-Apr-93
NOA0003035,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Texas,Public Display,DEAD,5-Oct-99
NOA0003036,CAPTURE,-,MALE,Killer Whale; Orca,-,1-Nov-83,"Sealand of the Pacific, Ltd.","Sealand of the Pacific, Ltd.",Public Display,-,1-Nov-84
NOA0003036,TRANSFER,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Florida,Public Display,-,-
NOA0003036,TRANSPORT,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Florida,Public Display,DEAD,9-Jan-92
NOA0003037,BIRTH,-,FEMALE,Killer Whale; Orca,9-Jul-91,9-Jul-91,Sea World LLC,Sea World of California,Public Display,-,9-Jul-91
NOA0003037,TRANSPORT,-,FEMALE,Killer Whale; Orca,9-Jul-91,-,Sea World LLC,Sea World of Florida,Public Display,-,24-Apr-04
NOA0003037,TRANSPORT,-,FEMALE,Killer Whale; Orca,9-Jul-91,-,Sea World LLC,Sea World of Texas,Public Display,ALIVE,5-Feb-09
NOA0003051,CAPTURE,KIA,FEMALE,Beluga Whale,1-Jan-84,24-Jul-87,unreported facility in unspecified foreign country,New York Aquarium,Public Display,-,2-Aug-87
NOA0003051,TRANSFER,KIA,FEMALE,Beluga Whale,1-Jan-84,-,National Aquarium in Baltimore,National Aquarium in Baltimore,Public Display,-,-
NOA0003051,TRANSPORT,KIA,FEMALE,Beluga Whale,1-Jan-84,-,National Aquarium in Baltimore,National Aquarium in Baltimore,Public Display,-,24-Jul-88
NOA0003051,TRANSPORT,KIA,FEMALE,Beluga Whale,1-Jan-84,-,National Aquarium in Baltimore,Sea World of Texas,Public Display,DEAD,19-Mar-92
NOA0003052,CAPTURE,SIKKU,FEMALE,Beluga Whale,1-Jan-84,29-Jul-87,unreported facility in unspecified foreign country,New York Aquarium,Public Display,-,2-Aug-87
NOA0003052,TRANSFER,SIKKU,FEMALE,Beluga Whale,1-Jan-84,-,National Aquarium in Baltimore,National Aquarium in Baltimore,Public Display,-,-
NOA0003052,TRANSPORT,SIKKU,FEMALE,Beluga Whale,1-Jan-84,-,National Aquarium in Baltimore,National Aquarium in Baltimore,Public Display,-,4-Sep-90
NOA0003052,TRANSPORT,SIKKU,FEMALE,Beluga Whale,1-Jan-84,-,National Aquarium in Baltimore,Sea World of Texas,Public Display,-,19-Mar-92
NOA0003052,TRANSFER,SIKKU,FEMALE,Beluga Whale,1-Jan-84,-,Sea World LLC,Sea World of Texas,Public Display,DEAD,-
NOA0003053,BIRTH,-,MALE,Killer Whale; Orca,15-Aug-89,15-Aug-89,Marineland of Canada,Marineland of Canada,Public Display,-,15-Aug-89
NOA0003053,TRANSFER,-,MALE,Killer Whale; Orca,15-Aug-89,-,Sea World LLC,Sea World of California,Public Display,-,-
NOA0003053,TRANSPORT,-,MALE,Killer Whale; Orca,15-Aug-89,-,Sea World LLC,Sea World of California,Public Display,DEAD,17-Apr-92
NOA0003068,CAPTURE,-,FEMALE,Killer Whale; Orca,-,1-Jan-82,"Sealand of the Pacific, Ltd.","Sealand of the Pacific, Ltd.",Public Display,-,6-May-83
NOA0003068,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Texas,Public Display,-,-
NOA0003068,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of Texas,Public Display,DEAD,8-Jan-93
NOA0003069,BIRTH,-,MALE,Killer Whale; Orca,24-Dec-91,24-Dec-91,"Sealand of the Pacific, Ltd.","Sealand of the Pacific, Ltd.",Public Display,-,24-Dec-91
NOA0003069,TRANSFER,-,MALE,Killer Whale; Orca,24-Dec-91,-,Sea World LLC,Sea World of Texas,Public Display,-,-
NOA0003069,TRANSPORT,-,MALE,Killer Whale; Orca,24-Dec-91,-,Sea World LLC,Sea World of Texas,Public Display,ALIVE,8-Jan-93
NOA0003070,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-80,1-Jan-82,"Sealand of the Pacific, Ltd.","Sealand of the Pacific, Ltd.",Public Display,-,6-May-83
NOA0003070,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-80,-,Sea World LLC,Unknown,Public Display,-,-
NOA0003070,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-80,-,Sea World LLC,Unknown,Public Display,DEAD,8-Jan-93
NOA0003071,BIRTH,-,MALE,Beluga Whale,8-Aug-92,8-Aug-92,Sea World LLC,Sea World of Texas,Public Display,-,8-Aug-92
NOA0003071,TRANSPORT,-,MALE,Beluga Whale,8-Aug-92,-,Sea World LLC,Sea World of California,Public Display,-,20-Apr-97
NOA0003071,TRANSPORT,-,MALE,Beluga Whale,8-Aug-92,-,Sea World LLC,Point Defiance Zoo and Aquarium,Public Display,-,21-Nov-98
NOA0003071,TRANSPORT,-,MALE,Beluga Whale,8-Aug-92,-,Sea World LLC,Sea World of Texas,Public Display,-,13-May-09
NOA0003071,TRANSPORT,-,MALE,Beluga Whale,8-Aug-92,-,Sea World LLC,Georgia Aquarium,Public Display,-,22-Feb-10
NOA0003071,TRANSPORT,-,MALE,Beluga Whale,8-Aug-92,-,Sea World LLC,Shedd (John G.) Aquarium,Public Display,ALIVE,19-Oct-14
NOA0003082,BIRTH,-,MALE,Beluga Whale,25-Sep-93,25-Sep-93,Sea World LLC,Sea World of Texas,Public Display,DEAD,25-Sep-93
