NOAA.ID,Order,Acquisition,Name,Sex,Species,Birth.Date,Captivity.Date,Owner,Facility.Date,Facility,Purpose,Status
NOA0002846,3,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-58,-,Hanna-Barbera's Marineland (Marineland of the Pacific),7-Nov-77,Hanna-Barbera's Marineland (Marineland of the Pacific),Public Display,-
NOA0002846,4,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-58,-,Marineland Amusements Corporation,-,Marineland Amusements Corporation,Public Display,-
NOA0002846,5,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-58,-,Marineland Amusements Corporation,11-Jan-82,Marineland Amusements Corporation,Public Display,-
NOA0002846,6,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-58,-,Sea World LLC,-,Sea World of California,Public Display,-
NOA0002846,7,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-58,-,Sea World LLC,21-Jan-87,Sea World of California,Public Display,DEAD
NOA0002847,1,CAPTURE,-,FEMALE,Killer Whale; Orca,-,Unknown,"Twentieth Century-Fox Marineland, Inc.",27-Dec-69,"Twentieth Century-Fox Marineland, Inc.",Public Display,-
NOA0002847,2,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Hanna-Barbera's Marineland (Marineland of the Pacific),-,Hanna-Barbera's Marineland (Marineland of the Pacific),Public Display,-
NOA0002847,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Hanna-Barbera's Marineland (Marineland of the Pacific),7-Nov-77,Hanna-Barbera's Marineland (Marineland of the Pacific),Public Display,-
NOA0002847,4,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Marineland Amusements Corporation,-,Marineland Amusements Corporation,Public Display,-
NOA0002847,5,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Marineland Amusements Corporation,11-Jan-82,Marineland Amusements Corporation,Public Display,-
NOA0002847,6,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,-,Sea World of California,Public Display,-
NOA0002847,7,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,21-Jan-87,Sea World of California,Public Display,ALIVE
NOA0002916,1,CAPTURE,-,MALE,Beluga Whale,-,18-Jul-87,unreported facility in unspecified foreign country,22-Jul-87,Sea World of California,Public Display,-
NOA0002916,2,TRANSFER,-,MALE,Beluga Whale,-,-,Sea World LLC,-,Sea World of Texas,Public Display,-
NOA0002916,3,TRANSPORT,-,MALE,Beluga Whale,-,-,Sea World LLC,12-Nov-91,Sea World of Texas,Public Display,DEAD
NOA0002917,1,CAPTURE,-,FEMALE,Beluga Whale,-,19-Jul-87,unreported facility in unspecified foreign country,22-Jul-87,Sea World of California,Public Display,-
NOA0002917,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Sea World of Texas,Public Display,-
NOA0002917,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,15-Feb-88,Sea World of Texas,Public Display,DEAD
